No,A,M,N,B,Sample ke,Current(mA),Average Current(mA),Voltage(mV),Average Voltage(mV)
1,1,2,3,4,1,NaN,NaN,NaN,NaN
No,A,M,N,B,Sample ke,Current(mA),Average Current(mA),Voltage(mV),Average Voltage(mV)
